BrineInletPressure,BrineInletTemp,BrineOutletFlow,AmbientTemp,R134aPumpSpeed,TurboInletTemp,TurboExhaustPressure,TurboExhaustTemp,CondenserTemp,Gross,Cost,BrineOutletTemp
127.5,297.4,2735.0,16.8,1031.0,246.8,85.9,94.7,42.7,10.391,1.6300000000000008,99.2
127.6,297.4,2734.0,19.9,1030.0,247.0,85.9,95.5,43.7,10.382,1.6289999999999996,99.7
127.6,297.4,2735.0,22.1,1030.0,247.0,85.8,95.7,43.5,10.385,1.6579999999999995,99.7
127.7,297.5,2735.0,23.3,1030.0,246.9,86.0,95.9,43.7,10.381,1.6709999999999994,99.8
127.7,297.4,2735.0,26.0,1028.0,247.7,85.9,97.1,43.8,10.349,1.6929999999999996,100.7
127.8,297.4,2735.0,31.5,1016.0,250.0,86.0,103.7,44.1,10.206,1.7029999999999994,103.2
127.9,297.3,2735.0,30.9,1015.0,250.1,85.6,104.0,44.0,10.203,1.6609999999999996,103.4
127.9,297.3,2735.0,29.6,1015.0,249.7,85.9,103.7,44.2,10.199,1.6280000000000001,103.4
128.0,297.2,2735.0,27.9,1017.0,249.2,85.8,102.9,44.7,10.207,1.636000000000001,103.5
128.0,297.1,2734.0,26.4,1026.0,247.7,85.7,98.3,44.5,10.303,1.6550000000000011,101.7
127.8,297.1,2734.0,23.9,1030.0,246.7,85.9,95.9,44.0,10.344,1.6649999999999991,100.2
127.7,297.0,2735.0,27.2,1031.0,246.6,85.9,95.2,44.8,10.35,1.7119999999999997,100.6
127.6,297.0,2735.0,27.5,1027.0,247.2,85.7,97.3,45.0,10.306,1.6689999999999987,101.5
127.4,297.1,2732.0,23.4,1026.0,247.2,85.7,97.2,43.3,10.313,1.649000000000001,100.5
127.3,297.2,2734.0,24.3,1026.0,247.6,85.8,97.5,43.8,10.324,1.6470000000000002,100.9
127.1,297.3,2734.0,25.1,1026.0,248.2,85.8,98.8,44.1,10.321,1.6219999999999999,101.3
126.9,297.2,2736.0,27.0,1025.0,248.2,85.9,99.1,44.5,10.325,1.6649999999999991,101.5
